package_name,class_name,method_name,method_signature,method_FEN,missed_instr,covered_instr,percentage_instr,missed_branches,covered_branches,percentage_branches,complexity,missed_lines,covered_lines,percentage_lines,missed_methods,covered_methods,percentage_methods
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/TiedMapEntry,<init>,"(java.util.Map, java.lang.Object) → void","org.apache.commons.collections4.keyvalue.TiedMapEntry.<init>(Map,Object)",9,0,0.0,0,0,coverage not available since no branches,1,4,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/TiedMapEntry,equals,(java.lang.Object) → boolean,org.apache.commons.collections4.keyvalue.TiedMapEntry.equals(Object),29,0,0.0,8,0,0.0,5,8,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/TiedMapEntry,getKey,() → java.lang.Object,org.apache.commons.collections4.keyvalue.TiedMapEntry.getKey(),3,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/TiedMapEntry,getValue,() → java.lang.Object,org.apache.commons.collections4.keyvalue.TiedMapEntry.getValue(),6,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/TiedMapEntry,hashCode,() → int,org.apache.commons.collections4.keyvalue.TiedMapEntry.hashCode(),19,0,0.0,4,0,0.0,3,3,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/TiedMapEntry,setValue,(java.lang.Object) → java.lang.Object,org.apache.commons.collections4.keyvalue.TiedMapEntry.setValue(Object),15,0,0.0,2,0,0.0,2,3,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/TiedMapEntry,toString,() → java.lang.String,org.apache.commons.collections4.keyvalue.TiedMapEntry.toString(),13,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/AbstractMapEntry,<init>,"(java.lang.Object, java.lang.Object) → void","org.apache.commons.collections4.keyvalue.AbstractMapEntry.<init>(Object,Object)",5,0,0.0,0,0,coverage not available since no branches,1,2,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/AbstractMapEntry,equals,(java.lang.Object) → boolean,org.apache.commons.collections4.keyvalue.AbstractMapEntry.equals(Object),29,0,0.0,8,0,0.0,5,7,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/AbstractMapEntry,hashCode,() → int,org.apache.commons.collections4.keyvalue.AbstractMapEntry.hashCode(),18,0,0.0,4,0,0.0,3,2,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/AbstractMapEntry,setValue,(java.lang.Object) → java.lang.Object,org.apache.commons.collections4.keyvalue.AbstractMapEntry.setValue(Object),4,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/UnmodifiableMapEntry,<init>,"(java.lang.Object, java.lang.Object) → void","org.apache.commons.collections4.keyvalue.UnmodifiableMapEntry.<init>(Object,Object)",5,0,0.0,0,0,coverage not available since no branches,1,2,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/UnmodifiableMapEntry,<init>,(org.apache.commons.collections4.KeyValue) → void,org.apache.commons.collections4.keyvalue.UnmodifiableMapEntry.<init>(KeyValue),7,0,0.0,0,0,coverage not available since no branches,1,2,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/UnmodifiableMapEntry,<init>,(java.util.Map$Entry) → void,org.apache.commons.collections4.keyvalue.UnmodifiableMapEntry.<init>(Entry),7,0,0.0,0,0,coverage not available since no branches,1,2,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/UnmodifiableMapEntry,setValue,(java.lang.Object) → java.lang.Object,org.apache.commons.collections4.keyvalue.UnmodifiableMapEntry.setValue(Object),5,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/AbstractKeyValue,<init>,"(java.lang.Object, java.lang.Object) → void","org.apache.commons.collections4.keyvalue.AbstractKeyValue.<init>(Object,Object)",0,9,1.0,0,0,coverage not available since no branches,1,0,4,1.0,0,1,1.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/AbstractKeyValue,getKey,() → java.lang.Object,org.apache.commons.collections4.keyvalue.AbstractKeyValue.getKey(),3,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/AbstractKeyValue,getValue,() → java.lang.Object,org.apache.commons.collections4.keyvalue.AbstractKeyValue.getValue(),3,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/AbstractKeyValue,setKey,(java.lang.Object) → java.lang.Object,org.apache.commons.collections4.keyvalue.AbstractKeyValue.setKey(Object),0,8,1.0,0,0,coverage not available since no branches,1,0,3,1.0,0,1,1.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/AbstractKeyValue,setValue,(java.lang.Object) → java.lang.Object,org.apache.commons.collections4.keyvalue.AbstractKeyValue.setValue(Object),8,0,0.0,0,0,coverage not available since no branches,1,3,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/AbstractKeyValue,toString,() → java.lang.String,org.apache.commons.collections4.keyvalue.AbstractKeyValue.toString(),13,0,0.0,0,0,coverage not available since no branches,1,5,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/MultiKey,getClass,(java.lang.Object) → java.lang.Class,org.apache.commons.collections4.keyvalue.MultiKey.getClass(Object),0,7,1.0,0,2,1.0,2,0,1,1.0,0,1,1.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/MultiKey,getComponentType,(java.lang.Object[]) → java.lang.Class,org.apache.commons.collections4.keyvalue.MultiKey.getComponentType(Object[]),5,33,0.868421052631579,3,5,0.625,5,2,8,0.8,0,1,1.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/MultiKey,newArray,"(java.lang.Object, java.lang.Object) → java.lang.Object[]","org.apache.commons.collections4.keyvalue.MultiKey.newArray(Object,Object)",26,0,0.0,0,0,coverage not available since no branches,1,4,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/MultiKey,newArray,"(java.lang.Object, java.lang.Object, java.lang.Object) → java.lang.Object[]","org.apache.commons.collections4.keyvalue.MultiKey.newArray(Object,Object,Object)",0,34,1.0,0,0,coverage not available since no branches,1,0,5,1.0,0,1,1.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/MultiKey,newArray,"(java.lang.Object, java.lang.Object, java.lang.Object, java.lang.Object) → java.lang.Object[]","org.apache.commons.collections4.keyvalue.MultiKey.newArray(Object,Object,Object,Object)",42,0,0.0,0,0,coverage not available since no branches,1,6,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/MultiKey,newArray,"(java.lang.Object, java.lang.Object, java.lang.Object, java.lang.Object, java.lang.Object) → java.lang.Object[]","org.apache.commons.collections4.keyvalue.MultiKey.newArray(Object,Object,Object,Object,Object)",50,0,0.0,0,0,coverage not available since no branches,1,7,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/MultiKey,<init>,"(java.lang.Object, java.lang.Object) → void","org.apache.commons.collections4.keyvalue.MultiKey.<init>(Object,Object)",7,0,0.0,0,0,coverage not available since no branches,1,2,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/MultiKey,<init>,"(java.lang.Object, java.lang.Object, java.lang.Object) → void","org.apache.commons.collections4.keyvalue.MultiKey.<init>(Object,Object,Object)",0,8,1.0,0,0,coverage not available since no branches,1,0,2,1.0,0,1,1.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/MultiKey,<init>,"(java.lang.Object, java.lang.Object, java.lang.Object, java.lang.Object) → void","org.apache.commons.collections4.keyvalue.MultiKey.<init>(Object,Object,Object,Object)",9,0,0.0,0,0,coverage not available since no branches,1,2,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/MultiKey,<init>,"(java.lang.Object, java.lang.Object, java.lang.Object, java.lang.Object, java.lang.Object) → void","org.apache.commons.collections4.keyvalue.MultiKey.<init>(Object,Object,Object,Object,Object)",10,0,0.0,0,0,coverage not available since no branches,1,2,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/MultiKey,<init>,(java.lang.Object[]) → void,org.apache.commons.collections4.keyvalue.MultiKey.<init>(Object[]),5,0,0.0,0,0,coverage not available since no branches,1,2,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/MultiKey,<init>,"(java.lang.Object[], boolean) → void","org.apache.commons.collections4.keyvalue.MultiKey.<init>(Object[],boolean)",4,15,0.7894736842105263,1,1,0.5,2,0,5,1.0,0,1,1.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/MultiKey,calculateHashCode,(java.lang.Object[]) → void,org.apache.commons.collections4.keyvalue.MultiKey.calculateHashCode(Object[]),0,29,1.0,0,4,1.0,3,0,6,1.0,0,1,1.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/MultiKey,equals,(java.lang.Object) → boolean,org.apache.commons.collections4.keyvalue.MultiKey.equals(Object),19,0,0.0,4,0,0.0,3,6,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/MultiKey,getKey,(int) → java.lang.Object,org.apache.commons.collections4.keyvalue.MultiKey.getKey(int),0,5,1.0,0,0,coverage not available since no branches,1,0,1,1.0,0,1,1.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/MultiKey,getKeys,() → java.lang.Object[],org.apache.commons.collections4.keyvalue.MultiKey.getKeys(),5,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/MultiKey,hashCode,() → int,org.apache.commons.collections4.keyvalue.MultiKey.hashCode(),3,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/MultiKey,readResolve,() → java.lang.Object,org.apache.commons.collections4.keyvalue.MultiKey.readResolve(),6,0,0.0,0,0,coverage not available since no branches,1,2,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/MultiKey,size,() → int,org.apache.commons.collections4.keyvalue.MultiKey.size(),0,4,1.0,0,0,coverage not available since no branches,1,0,1,1.0,0,1,1.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/MultiKey,toString,() → java.lang.String,org.apache.commons.collections4.keyvalue.MultiKey.toString(),11,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/DefaultMapEntry,<init>,"(java.lang.Object, java.lang.Object) → void","org.apache.commons.collections4.keyvalue.DefaultMapEntry.<init>(Object,Object)",5,0,0.0,0,0,coverage not available since no branches,1,2,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/DefaultMapEntry,<init>,(org.apache.commons.collections4.KeyValue) → void,org.apache.commons.collections4.keyvalue.DefaultMapEntry.<init>(KeyValue),7,0,0.0,0,0,coverage not available since no branches,1,2,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/DefaultMapEntry,<init>,(java.util.Map$Entry) → void,org.apache.commons.collections4.keyvalue.DefaultMapEntry.<init>(Entry),7,0,0.0,0,0,coverage not available since no branches,1,2,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/DefaultKeyValue,<init>,() → void,org.apache.commons.collections4.keyvalue.DefaultKeyValue.<init>(),5,0,0.0,0,0,coverage not available since no branches,1,2,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/DefaultKeyValue,<init>,"(java.lang.Object, java.lang.Object) → void","org.apache.commons.collections4.keyvalue.DefaultKeyValue.<init>(Object,Object)",0,5,1.0,0,0,coverage not available since no branches,1,0,2,1.0,0,1,1.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/DefaultKeyValue,<init>,(org.apache.commons.collections4.KeyValue) → void,org.apache.commons.collections4.keyvalue.DefaultKeyValue.<init>(KeyValue),7,0,0.0,0,0,coverage not available since no branches,1,2,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/DefaultKeyValue,<init>,(java.util.Map$Entry) → void,org.apache.commons.collections4.keyvalue.DefaultKeyValue.<init>(Entry),7,0,0.0,0,0,coverage not available since no branches,1,2,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/DefaultKeyValue,equals,(java.lang.Object) → boolean,org.apache.commons.collections4.keyvalue.DefaultKeyValue.equals(Object),29,0,0.0,8,0,0.0,5,8,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/DefaultKeyValue,hashCode,() → int,org.apache.commons.collections4.keyvalue.DefaultKeyValue.hashCode(),18,0,0.0,4,0,0.0,3,2,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/DefaultKeyValue,setKey,(java.lang.Object) → java.lang.Object,org.apache.commons.collections4.keyvalue.DefaultKeyValue.setKey(Object),5,7,0.5833333333333334,1,1,0.5,2,1,2,0.6666666666666666,0,1,1.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/DefaultKeyValue,setValue,(java.lang.Object) → java.lang.Object,org.apache.commons.collections4.keyvalue.DefaultKeyValue.setValue(Object),12,0,0.0,2,0,0.0,2,3,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/DefaultKeyValue,toMapEntry,() → java.util.Map$Entry,org.apache.commons.collections4.keyvalue.DefaultKeyValue.toMapEntry(),5,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/AbstractMapEntryDecorator,<init>,(java.util.Map$Entry) → void,org.apache.commons.collections4.keyvalue.AbstractMapEntryDecorator.<init>(Entry),9,0,0.0,0,0,coverage not available since no branches,1,3,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/AbstractMapEntryDecorator,equals,(java.lang.Object) → boolean,org.apache.commons.collections4.keyvalue.AbstractMapEntryDecorator.equals(Object),10,0,0.0,2,0,0.0,2,3,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/AbstractMapEntryDecorator,getKey,() → java.lang.Object,org.apache.commons.collections4.keyvalue.AbstractMapEntryDecorator.getKey(),4,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/AbstractMapEntryDecorator,getMapEntry,() → java.util.Map$Entry,org.apache.commons.collections4.keyvalue.AbstractMapEntryDecorator.getMapEntry(),3,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/AbstractMapEntryDecorator,getValue,() → java.lang.Object,org.apache.commons.collections4.keyvalue.AbstractMapEntryDecorator.getValue(),4,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/AbstractMapEntryDecorator,hashCode,() → int,org.apache.commons.collections4.keyvalue.AbstractMapEntryDecorator.hashCode(),4,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/AbstractMapEntryDecorator,setValue,(java.lang.Object) → java.lang.Object,org.apache.commons.collections4.keyvalue.AbstractMapEntryDecorator.setValue(Object),5,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/keyvalue,org/apache/commons/collections4/keyvalue/AbstractMapEntryDecorator,toString,() → java.lang.String,org.apache.commons.collections4.keyvalue.AbstractMapEntryDecorator.toString(),4,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/splitmap,org/apache/commons/collections4/splitmap/TransformedSplitMap,transformingMap,"(java.util.Map, org.apache.commons.collections4.Transformer, org.apache.commons.collections4.Transformer) → org.apache.commons.collections4.splitmap.TransformedSplitMap","org.apache.commons.collections4.splitmap.TransformedSplitMap.transformingMap(Map,Transformer,Transformer)",7,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/splitmap,org/apache/commons/collections4/splitmap/TransformedSplitMap,<init>,"(java.util.Map, org.apache.commons.collections4.Transformer, org.apache.commons.collections4.Transformer) → void","org.apache.commons.collections4.splitmap.TransformedSplitMap.<init>(Map,Transformer,Transformer)",16,0,0.0,0,0,coverage not available since no branches,1,4,0,0.0,1,0,0.0
org/apache/commons/collections4/splitmap,org/apache/commons/collections4/splitmap/TransformedSplitMap,checkSetValue,(java.lang.Object) → java.lang.Object,org.apache.commons.collections4.splitmap.TransformedSplitMap.checkSetValue(Object),5,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/splitmap,org/apache/commons/collections4/splitmap/TransformedSplitMap,clear,() → void,org.apache.commons.collections4.splitmap.TransformedSplitMap.clear(),4,0,0.0,0,0,coverage not available since no branches,1,2,0,0.0,1,0,0.0
org/apache/commons/collections4/splitmap,org/apache/commons/collections4/splitmap/TransformedSplitMap,put,"(java.lang.Object, java.lang.Object) → java.lang.Object","org.apache.commons.collections4.splitmap.TransformedSplitMap.put(Object,Object)",10,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/splitmap,org/apache/commons/collections4/splitmap/TransformedSplitMap,putAll,(java.util.Map) → void,org.apache.commons.collections4.splitmap.TransformedSplitMap.putAll(Map),7,0,0.0,0,0,coverage not available since no branches,1,2,0,0.0,1,0,0.0
org/apache/commons/collections4/splitmap,org/apache/commons/collections4/splitmap/TransformedSplitMap,readObject,(java.io.ObjectInputStream) → void,org.apache.commons.collections4.splitmap.TransformedSplitMap.readObject(ObjectInputStream),8,0,0.0,0,0,coverage not available since no branches,1,3,0,0.0,1,0,0.0
org/apache/commons/collections4/splitmap,org/apache/commons/collections4/splitmap/TransformedSplitMap,transformKey,(java.lang.Object) → java.lang.Object,org.apache.commons.collections4.splitmap.TransformedSplitMap.transformKey(Object),5,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/splitmap,org/apache/commons/collections4/splitmap/TransformedSplitMap,transformMap,(java.util.Map) → java.util.Map,org.apache.commons.collections4.splitmap.TransformedSplitMap.transformMap(Map),36,0,0.0,4,0,0.0,3,7,0,0.0,1,0,0.0
org/apache/commons/collections4/splitmap,org/apache/commons/collections4/splitmap/TransformedSplitMap,transformValue,(java.lang.Object) → java.lang.Object,org.apache.commons.collections4.splitmap.TransformedSplitMap.transformValue(Object),5,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/splitmap,org/apache/commons/collections4/splitmap/TransformedSplitMap,writeObject,(java.io.ObjectOutputStream) → void,org.apache.commons.collections4.splitmap.TransformedSplitMap.writeObject(ObjectOutputStream),7,0,0.0,0,0,coverage not available since no branches,1,3,0,0.0,1,0,0.0
org/apache/commons/collections4/splitmap,org/apache/commons/collections4/splitmap/AbstractIterableGetMapDecorator,<init>,() → void,org.apache.commons.collections4.splitmap.AbstractIterableGetMapDecorator.<init>(),3,0,0.0,0,0,coverage not available since no branches,1,2,0,0.0,1,0,0.0
org/apache/commons/collections4/splitmap,org/apache/commons/collections4/splitmap/AbstractIterableGetMapDecorator,<init>,(java.util.Map) → void,org.apache.commons.collections4.splitmap.AbstractIterableGetMapDecorator.<init>(Map),9,0,0.0,0,0,coverage not available since no branches,1,3,0,0.0,1,0,0.0
org/apache/commons/collections4/splitmap,org/apache/commons/collections4/splitmap/AbstractIterableGetMapDecorator,containsKey,(java.lang.Object) → boolean,org.apache.commons.collections4.splitmap.AbstractIterableGetMapDecorator.containsKey(Object),5,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/splitmap,org/apache/commons/collections4/splitmap/AbstractIterableGetMapDecorator,containsValue,(java.lang.Object) → boolean,org.apache.commons.collections4.splitmap.AbstractIterableGetMapDecorator.containsValue(Object),5,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/splitmap,org/apache/commons/collections4/splitmap/AbstractIterableGetMapDecorator,decorated,() → java.util.Map,org.apache.commons.collections4.splitmap.AbstractIterableGetMapDecorator.decorated(),3,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/splitmap,org/apache/commons/collections4/splitmap/AbstractIterableGetMapDecorator,entrySet,() → java.util.Set,org.apache.commons.collections4.splitmap.AbstractIterableGetMapDecorator.entrySet(),4,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/splitmap,org/apache/commons/collections4/splitmap/AbstractIterableGetMapDecorator,equals,(java.lang.Object) → boolean,org.apache.commons.collections4.splitmap.AbstractIterableGetMapDecorator.equals(Object),10,0,0.0,2,0,0.0,2,3,0,0.0,1,0,0.0
org/apache/commons/collections4/splitmap,org/apache/commons/collections4/splitmap/AbstractIterableGetMapDecorator,get,(java.lang.Object) → java.lang.Object,org.apache.commons.collections4.splitmap.AbstractIterableGetMapDecorator.get(Object),5,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/splitmap,org/apache/commons/collections4/splitmap/AbstractIterableGetMapDecorator,hashCode,() → int,org.apache.commons.collections4.splitmap.AbstractIterableGetMapDecorator.hashCode(),4,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/splitmap,org/apache/commons/collections4/splitmap/AbstractIterableGetMapDecorator,isEmpty,() → boolean,org.apache.commons.collections4.splitmap.AbstractIterableGetMapDecorator.isEmpty(),4,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/splitmap,org/apache/commons/collections4/splitmap/AbstractIterableGetMapDecorator,keySet,() → java.util.Set,org.apache.commons.collections4.splitmap.AbstractIterableGetMapDecorator.keySet(),4,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/splitmap,org/apache/commons/collections4/splitmap/AbstractIterableGetMapDecorator,mapIterator,() → org.apache.commons.collections4.MapIterator,org.apache.commons.collections4.splitmap.AbstractIterableGetMapDecorator.mapIterator(),6,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/splitmap,org/apache/commons/collections4/splitmap/AbstractIterableGetMapDecorator,remove,(java.lang.Object) → java.lang.Object,org.apache.commons.collections4.splitmap.AbstractIterableGetMapDecorator.remove(Object),5,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/splitmap,org/apache/commons/collections4/splitmap/AbstractIterableGetMapDecorator,size,() → int,org.apache.commons.collections4.splitmap.AbstractIterableGetMapDecorator.size(),4,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/splitmap,org/apache/commons/collections4/splitmap/AbstractIterableGetMapDecorator,toString,() → java.lang.String,org.apache.commons.collections4.splitmap.AbstractIterableGetMapDecorator.toString(),4,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/splitmap,org/apache/commons/collections4/splitmap/AbstractIterableGetMapDecorator,values,() → java.util.Collection,org.apache.commons.collections4.splitmap.AbstractIterableGetMapDecorator.values(),4,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/collection,org/apache/commons/collections4/collection/AbstractCollectionDecorator,<init>,() → void,org.apache.commons.collections4.collection.AbstractCollectionDecorator.<init>(),3,0,0.0,0,0,coverage not available since no branches,1,2,0,0.0,1,0,0.0
org/apache/commons/collections4/collection,org/apache/commons/collections4/collection/AbstractCollectionDecorator,<init>,(java.util.Collection) → void,org.apache.commons.collections4.collection.AbstractCollectionDecorator.<init>(Collection),0,9,1.0,0,0,coverage not available since no branches,1,0,3,1.0,0,1,1.0
org/apache/commons/collections4/collection,org/apache/commons/collections4/collection/AbstractCollectionDecorator,add,(java.lang.Object) → boolean,org.apache.commons.collections4.collection.AbstractCollectionDecorator.add(Object),5,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/collection,org/apache/commons/collections4/collection/AbstractCollectionDecorator,addAll,(java.util.Collection) → boolean,org.apache.commons.collections4.collection.AbstractCollectionDecorator.addAll(Collection),5,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/collection,org/apache/commons/collections4/collection/AbstractCollectionDecorator,clear,() → void,org.apache.commons.collections4.collection.AbstractCollectionDecorator.clear(),4,0,0.0,0,0,coverage not available since no branches,1,2,0,0.0,1,0,0.0
org/apache/commons/collections4/collection,org/apache/commons/collections4/collection/AbstractCollectionDecorator,contains,(java.lang.Object) → boolean,org.apache.commons.collections4.collection.AbstractCollectionDecorator.contains(Object),0,5,1.0,0,0,coverage not available since no branches,1,0,1,1.0,0,1,1.0
org/apache/commons/collections4/collection,org/apache/commons/collections4/collection/AbstractCollectionDecorator,containsAll,(java.util.Collection) → boolean,org.apache.commons.collections4.collection.AbstractCollectionDecorator.containsAll(Collection),5,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/collection,org/apache/commons/collections4/collection/AbstractCollectionDecorator,decorated,() → java.util.Collection,org.apache.commons.collections4.collection.AbstractCollectionDecorator.decorated(),0,3,1.0,0,0,coverage not available since no branches,1,0,1,1.0,0,1,1.0
org/apache/commons/collections4/collection,org/apache/commons/collections4/collection/AbstractCollectionDecorator,isEmpty,() → boolean,org.apache.commons.collections4.collection.AbstractCollectionDecorator.isEmpty(),4,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/collections4/collection,org/apache/commons/collections4/collection/AbstractCollectionDecorator,iterator,() → java.util.Iterator,org.apache.commons.collections4.collection.AbstractCollectionDecorator.iterator(),4,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
